shoppingcartitemid,userid,classid,shoppingcartitemquantity,shoppingcartid,shoppingcartadddate,shoppingcartaddtime
29,605628728,63,1,f07kc7la731bckgrvsn4o60tkq,8/24/23,20:24:56
30,114464450,58,1,a33n2ukt45b9be1nui37amne4u,8/24/23,20:33:34
31,114464450,64,1,a33n2ukt45b9be1nui37amne4u,8/24/23,20:37:31
32,652147584,43,2,s1vpbq8a4q79sn3vgh86ssdh68,8/24/23,20:40:41
33,932577646,43,1,l4dtitnhihmor7456v3icm2f9c,8/24/23,21:05:39
34,487125695,43,2,ab6cg6mepk0ch6ighjr2q1np1a,8/24/23,21:06:33
35,663891736,60,1,9mmnchpq2qg5sigm4e2r0df30k,8/25/23,09:04:06
36,663891736,61,1,9mmnchpq2qg5sigm4e2r0df30k,8/25/23,09:04:15
37,663891736,63,1,9mmnchpq2qg5sigm4e2r0df30k,8/25/23,09:04:31
38,476230144,57,1,vp2tafo5etfstqm21g317bj9b8,8/25/23,09:29:47
39,184001227,63,1,f6tqppal18s65t93hjtam63ort,8/25/23,10:01:19
40,410434401,57,1,0mhhsar6n3osjrod8f5stb2m5d,8/25/23,10:24:15
41,603859184,43,1,1s6dfnsq1c4had262tvq0ipmuh,8/25/23,10:26:38
42,926050482,43,1,fme5jen9v8bgh9q1g86hu0qtii,8/25/23,10:34:16
43,493914652,57,1,1qc4tqlen1s3d1mgtkjgvdteia,8/25/23,11:10:38
44,493914652,58,1,1qc4tqlen1s3d1mgtkjgvdteia,8/25/23,11:11:25
45,493914652,62,1,1qc4tqlen1s3d1mgtkjgvdteia,8/25/23,11:11:29
46,493914652,61,1,1qc4tqlen1s3d1mgtkjgvdteia,8/25/23,11:11:34
47,7,60,1,iq53mv32f38rq1qoplfdvgjj3o,8/25/23,11:33:47
48,7,61,1,iq53mv32f38rq1qoplfdvgjj3o,8/25/23,11:34:21
49,7,63,2,iq53mv32f38rq1qoplfdvgjj3o,8/25/23,11:35:06
50,932145260,64,1,sko24aiav774qc32vohcdsa5l2,8/25/23,12:24:27
51,538314297,64,1,76kbks9ouf2t9417h1v2ur27ge,8/25/23,12:30:23
52,488099731,63,1,76nf2k7df8c41mr27k85b56sop,8/25/23,13:07:02
53,964107766,61,1,ngiftdle5mkij74kagir1jmark,8/25/23,14:18:38
54,128765467,45,1,a6ahq4ievqp874ego44kknjfja,8/25/23,15:39:29
55,378190664,60,1,c5p109d002d0flb9gbeuj570kc,8/25/23,16:29:34
56,883842144,46,1,meaubeec4m64qlui4ipeo5cv6b,8/25/23,18:16:43
57,874899839,64,1,p3od05n9ap0fij00845duid5gf,8/25/23,18:57:08
58,292760258,43,1,2r2bkqelbtvq56nu0q3lf2thf8,8/25/23,20:11:54
59,225877932,43,1,26s96nu6q2iq1vdjr89vnsdcil,8/25/23,20:27:11
60,514396302,43,1,ugvtdq92rq7a5q4jkbbb31jspg,8/26/23,00:07:52
61,120030253,43,1,q1el1of9jsgh0h83u5csefj1ce,8/26/23,00:27:17
62,401996030,43,1,8thhqu1g1a65293tsuidtcu0eb,8/26/23,00:32:06
66,594594502,43,1,2lm4h8krfu7ki0cgef1ocijmt3,8/26/23,10:10:47
67,115739012,43,1,6nbivfr2esh2husdpnt8kko9g1,8/26/23,10:56:29
68,624267972,43,1,a3d0gbv85e1h1plsr0ibt4ujl0,8/26/23,11:14:19
69,225877932,43,1,mhrs46lt2e4893elg7mfehsso8,8/26/23,12:31:59
70,203432806,46,1,rfun0je5hasciftsfk3n40vj1r,8/26/23,13:43:05
71,528018115,59,1,e6ufluni33m9727mjbjaprg2ot,8/26/23,14:04:20
72,528018115,62,1,e6ufluni33m9727mjbjaprg2ot,8/26/23,14:04:30
73,189589627,45,1,tirkghbpfcobclekfc4o0hb09v,8/26/23,14:04:47
74,396543127,57,1,vjfgqnflro0pgfc3jdmddh67vb,8/26/23,15:49:54
75,817020335,45,1,gqnjqqj2cp8hpaipqfs3ist3u1,8/26/23,18:26:26
76,550838388,46,1,nhpovgmoe2k2msg5rk9c7ci7p8,8/26/23,20:23:45
77,313640830,57,1,vaog45tgavlu0j9bhu0jpv4ao7,8/26/23,20:42:13
78,313640830,58,1,vaog45tgavlu0j9bhu0jpv4ao7,8/26/23,20:42:17
79,262741439,59,1,n2rcqg84kfaajo6i5ksn8nm4nh,8/27/23,00:39:05
80,292823436,45,1,075bv1s1vqqlbvdn7o7d9qgtat,8/27/23,10:30:58
81,208604371,46,1,tv8ct4a0esnhbf6iveat5nvtbf,8/27/23,12:28:26
82,672159459,46,1,41vo8fmnm6sd4jsp49hjci7m8l,8/27/23,14:54:27
83,526115330,46,290,kjv8jd674u08pgh8ggvvue4tdf,8/27/23,16:25:21
84,190046650,60,1,q291miro9tuamv2jlaf8r2nhbu,8/28/23,14:52:25
85,286513136,63,3,h9k8nc4d54fjtv0d1p755uhvlj,8/28/23,15:15:20
86,3,57,1,1e7642k977b4igna20sse9ledm,8/28/23,21:24:39
87,408938920,64,1,fobo1nhm889odmoa5rp48u4v6f,8/29/23,00:41:18
88,526419420,57,1,oaqfn0m3sgea652a8tcnfusj6d,8/29/23,10:07:25
89,636382322,61,1,hgledsn8hp5r16bsj75pg1mc9e,8/29/23,11:11:35
90,738602511,64,1,hdji8mu27ufidfqjtf9m56jdam,8/29/23,20:17:29
91,552994116,58,1,7cnki594hu2breuedrcisa65q7,8/29/23,21:12:04
92,552994116,59,1,7cnki594hu2breuedrcisa65q7,8/29/23,21:12:09
94,144173739,57,1,tn76vu0v8g7bltmplni9a4da5n,8/29/23,23:06:55
95,761364841,59,1,7uga3ic0g4jvfjreo0nfj93uts,8/30/23,02:45:02
96,447572111,57,1,iuf46262e7or09rru75t43sdm8,8/30/23,18:30:30
97,722060242,60,1,m4ut94ai4dljhl4h0pgt88cgo3,8/30/23,20:59:40
98,393379859,57,1,0cflvqe6h6pvpfpnp6trev2u02,8/30/23,23:41:13
99,922135508,60,1,28ohugj59j57pri23nrv0rhcps,8/31/23,16:44:28
100,499047074,63,1,fts31h0d229ui1k5nnk02438jc,8/31/23,16:45:57
101,483243340,57,1,q4m95tvib175v1q22cvuhqi4gs,8/31/23,17:42:28
102,10,60,1,u9nslbethrdcetm8mmkdsp1e3e,9/1/23,00:33:28
103,134470079,57,1,jjhcr4liusgjisdrtn44e6rsnh,9/1/23,09:40:28
104,819455817,70,1,9n0ph18mu44d4hhedes4fp7bgt,9/1/23,09:54:12
105,497559956,58,1,51kb59j20mkkkabehli2s07jpl,9/1/23,11:12:37
106,634644517,58,1,cnbpes5jg0gstul1ced7qmsmgh,9/1/23,11:17:44
107,729320381,71,1,gdqsje2iaufu9icldmuu8ledva,9/1/23,12:20:02
108,10,60,1,0s8iagn7jev1lsfvmjvj94vs79,9/1/23,13:13:50
109,821226158,70,1,0kfomeqecqr3oikuo4oipe29m9,9/1/23,13:18:02
110,228586015,71,1,13fqcqioqvh1kumn0t0gfrp8fu,9/1/23,14:24:49
111,775435705,57,1,mtmqoeb5t3b4nvv9hfs49hjidt,9/1/23,14:53:46
112,937810100,60,1,s815sk74qfq05v7gmg5k5onmtt,9/1/23,17:07:30
113,16,71,1,s815sk74qfq05v7gmg5k5onmtt,9/1/23,17:10:18
114,16,70,1,s815sk74qfq05v7gmg5k5onmtt,9/1/23,17:10:22
115,811615479,62,1,rfe76g5ng4k93hjb7fqe9g7pem,9/1/23,18:59:52
118,17,57,1,9c223seprg72m5amefj861uk1r,9/1/23,23:28:03
119,796846542,63,1,7c1o9ja032qbt0oohoblkr4rk7,9/2/23,11:37:51
120,703136007,57,1,gost0jns3aiggmfk0e7vnggh5i,9/2/23,12:01:02
121,134595366,71,1,gmcbnfc6nkpi8n2t2a4va8grso,9/2/23,12:43:40
122,281067546,71,1,odb86ormq4a0258jvcgd9vjqeo,9/2/23,12:44:25
123,799580640,64,1,c9ctbjq785v13up8qdo5p4j8j4,9/2/23,13:31:45
124,384065824,71,1,cm3pis8vp5jeq0q3shrurgsvnu,9/2/23,14:24:55
125,384065824,73,1,cm3pis8vp5jeq0q3shrurgsvnu,9/2/23,14:27:27
126,625272319,71,1,an7tq2s1smavaf44jha8e73caa,9/2/23,14:27:49
127,379181950,72,1,89dul3ljlbdifql96ph67hgf1o,9/2/23,15:05:29
128,989422582,71,1,4hsggv4n2qc5to1vgphn0cjm95,9/2/23,15:16:46
129,10,61,1,ask24r9o15eua9d9s9dn4fp1oe,9/2/23,15:34:44
130,233372290,59,1,v8b9p5b0v0vpmke91cknpgc6e7,9/2/23,15:46:21
131,377781900,60,1,3hvmrlu3e552ll28a4q0rono8j,9/2/23,17:56:02
132,385365929,64,1,de0ogqisnh076uptp5p0qntrlj,9/2/23,19:28:33
133,625664158,59,1,i0m873cvf62od5stfsud1huuc6,9/2/23,20:28:52
136,19,64,1,b1roug37dgod60n945gi1cnjtj,9/2/23,23:25:47
137,914782445,73,1,1lfghch7l6ehuom8fk51c0l6uc,9/3/23,01:09:14
138,258784179,71,1,tbpbj59nr4tpu5dav7th6vfk6f,9/3/23,20:40:20
139,760593737,75,1,0450gbnmfp89ot76kfmcut2toc,9/4/23,11:14:22
140,830504570,61,1,5enplp8hgqrgduuvbcujv8m37n,9/4/23,11:36:44
141,592554061,75,1,4jljmn9dl73s2jrian3cfnmd2c,9/4/23,15:51:21
142,592554061,73,1,4jljmn9dl73s2jrian3cfnmd2c,9/4/23,15:51:49
143,418068795,61,1,loht75g5jt05h7gkorbhbih0be,9/4/23,17:35:13
144,400885582,69,1,6ukj97aleg4svfdfo587kh4s6m,9/4/23,19:02:35
145,421196088,63,1,hn2hvmjq3umatq996vja8kb03q,9/4/23,21:57:05
146,421196088,61,1,hn2hvmjq3umatq996vja8kb03q,9/4/23,21:57:43
147,320326410,70,1,54vc54dnad6n7bfp9r9srtalf7,9/5/23,11:08:51
148,643620503,75,1,5npd359dlsj64poldmqno33jpj,9/5/23,15:21:16
149,735674048,61,2,uhjvf8ggoij14651o4c7d9her8,9/5/23,17:18:16
150,830731682,64,1,2dqkei2uoe6etf84lpei46e29m,9/5/23,22:26:17
151,909796187,61,1,hbj4u8jl336tll6om9tmkvr2k4,9/5/23,22:48:53
152,438491643,63,1,4km0mu3vkd14gtq2p7htdf09uo,9/6/23,01:57:47
153,764501845,62,1,m54eihkf9asirc3ovs5g1ovaae,9/6/23,08:08:49
154,766596493,69,1,hu1bkmdi2u2i314291e99334sk,9/6/23,08:39:15
156,447827311,75,1,j4keo1h6pi49ialej90aujg23f,9/6/23,09:02:32
157,206465601,64,1,im7iqfhdubmu1qmd0pu1ioj0ss,9/6/23,12:43:38
158,418134043,70,1,570k11tq05a408v8aqjlar9l5c,9/6/23,17:01:14
159,724173833,75,1,qvuum17ln5riobj3klkrh2iofp,9/6/23,18:47:36
160,211423122,75,1,kadinmc1amj8ns1n9cqrto28fu,9/6/23,18:48:05
161,286251237,62,1,2h8m6dm0jgme03hen3sqpcd9pa,9/6/23,19:16:41
162,615600032,71,1,2eh5isclbf2fmru2oqqre60a8h,9/6/23,19:30:05
163,859318945,71,1,pj9o9b33naidp7ntlvf08je5nk,9/6/23,19:55:32
164,239175725,70,1,0clv5hf0fgsj3stchjasl5ag7v,9/6/23,22:49:41
165,359074243,71,1,p37fgdp50gcb5v2oeoq1f3qfq5,9/6/23,23:24:33
166,5,48,1,auq7jdcfai9qn9001ii4sv2ljr,9/6/23,23:48:02
167,786883559,62,1,01mjsp0feotuvurdr8kg27dhak,9/7/23,00:44:55
168,486858613,70,1,ilt0jcvs3q50clm945aqf5cgml,9/7/23,01:07:30
169,175743204,62,1,mti09il4r5ft16ve7ut7djs07d,9/7/23,01:15:41
170,740211392,71,1,0ll1qrra4tofunbh0fqecp2m27,9/7/23,08:39:22
171,620079897,71,1,fdaoeoidopfsc8eosnt8d4j5bu,9/7/23,09:14:13
172,343427116,75,1,qrkfjisghs4s31nf6aj6ebqgfj,9/7/23,13:57:32
173,608101381,64,1,i5d3f2qkdnkmauvmcnnbihts9p,9/7/23,16:13:09
174,786232758,75,1,c39ncampban6fq62gelpbbo4ho,9/7/23,16:17:38
175,213117823,75,1,thnpb0ce28f11f60lgnelt8mch,9/7/23,16:19:08
176,631122885,64,1,1chlc5jcjlo411e6r7b2ikdjf0,9/7/23,16:21:11
177,298520445,75,1,ntp8vnehio5r1r30drubgt66kp,9/7/23,17:11:29
178,575693051,64,1,kpd6trcm6pql4con7bfmfdjnqp,9/7/23,17:15:12
179,993122938,69,1,uotjp5p76j8g4s8migjircno8h,9/7/23,21:50:26
180,822021651,63,1,aru4ptjpcmopr0nhek8n96g4ul,9/8/23,14:30:49
181,655464677,62,1,tcon4i8rtk1n2ja395fqmgebr7,9/8/23,18:38:21
182,846352335,72,1,3c19objmvvt95nok4v9gduvfps,9/8/23,19:31:02
183,343538693,71,1,hdo22av5aogqjjdnjho490ihnv,9/8/23,21:49:15
184,445135714,64,1,o64j5p1ikm6ti11mdi1rub6gk7,9/9/23,01:44:52
185,445135714,63,1,o64j5p1ikm6ti11mdi1rub6gk7,9/9/23,01:44:55
187,711827799,64,1,5oe6dsnj84s3hj5lamap2ddd79,9/9/23,10:20:53
188,430789491,62,1,d3b614e35lom4d5l1rng710hqo,9/9/23,11:00:56
189,947171977,71,1,6ctvkpfseic9log1ocbhqumlp3,9/9/23,12:16:38
190,192507190,64,1,7463kh5q8155kgmtctb9nst21t,9/9/23,12:40:47
191,873147559,64,1,t335gbmutf67gj1hpi11omu69b,9/9/23,14:07:08
192,392368128,64,1,pealg94o4hoostfgqf2mlc47n3,9/9/23,15:04:40
193,119019454,63,1,cbhahia2kbot89m52jppoq8j4n,9/9/23,15:19:45
194,530445823,63,1,a82d9hqs4epbcrigb31vbjc00s,9/9/23,17:44:52
195,10,63,1,9muf65jo5dibi7bpr20a3tmcpg,9/9/23,20:05:50
196,220628350,64,1,fltp3d1r1qhp6hpm05rr365v1c,9/9/23,21:28:56
197,517570459,64,2,hitk9k9lfflmkuspaqafa6el37,9/9/23,21:33:18
198,265466572,74,1,hcolhudns78vuh9gk6equ6rg2d,9/9/23,22:54:02
199,871448688,74,1,og4t5al8fr73vfi4bn3sbvn9ai,9/10/23,00:55:46
200,631770302,63,1,ssg4rnuvusdfhumik3jvno0trr,9/10/23,02:32:36
202,721225462,64,1,6uma0pctb204236uccbipj7ijm,9/10/23,10:22:46
203,23,63,1,f6of34uk7p7v8oohqhvs28l7ja,9/10/23,13:26:36
204,475528264,63,1,92ri163b1bl20e9rg65lc242il,9/10/23,13:59:38
205,387286852,63,1,blj9r4rcio6gjsicp7vjifrdi8,9/10/23,14:38:49
206,842847723,74,1,qn7f42qa5m06caqj7ps6a8ulpf,9/10/23,14:46:26
207,273457338,76,1,fd73mt3rd9a7kljft8o5pjvuj0,9/10/23,14:52:29
208,519012231,71,1,i96blbronsiocqu8h3l0bsvgcu,9/10/23,15:17:18
209,593436115,63,1,ep19oq1ndu9dpo3hklvtac2e4k,9/10/23,15:29:21
210,123740470,48,1,gm1c1jen5ldt0takee6k46ngd5,9/10/23,18:30:21
211,470042459,71,1,pvs0sm2rfuphf52qobod7mfooo,9/10/23,21:34:32
212,320100662,73,1,b5vlimook1fum6kjfsgj28kt5r,9/10/23,22:34:13
213,854543731,70,1,tbdjts1o8p65ek4835acat0po8,9/11/23,15:22:02
214,786242047,70,1,qvpci52ri1ilreu575ae9c5ogp,9/11/23,15:41:36
215,612295584,71,1,nl9f4ho0lenv1bfoshg00acq9h,9/11/23,16:02:31
216,612295584,70,1,nl9f4ho0lenv1bfoshg00acq9h,9/11/23,16:02:33
217,931572252,80,1,8b9jna0u42bukr5f62l0epmiqg,9/11/23,17:01:26
218,520666082,72,1,orfflcptiins8865v4re99rjek,9/11/23,19:40:21
219,104888081,72,1,8b0imt9hs79qr7iqhivbvcvqh7,9/11/23,19:42:16
220,900457583,80,1,ei6tgnflh5679mgn90abenbs9g,9/11/23,20:45:04
221,925960375,71,1,sdj53ft7evbucn6llih6r3il6d,9/12/23,04:17:54
222,692411769,78,1,8k5t4orn4hvv1r65ehb9gjt904,9/12/23,12:36:37
223,429925096,78,2,qnsdjo0ffruu2a08cqonmoq9pv,9/12/23,15:22:23
224,20,71,1,pfpf7qodfgbftn75suejfb2m5n,9/12/23,15:35:25
225,20,70,1,pfpf7qodfgbftn75suejfb2m5n,9/12/23,15:35:27
226,697427354,71,1,0opj4vg373tue8i1j8dvm94itb,9/12/23,15:49:39
227,697427354,70,1,0opj4vg373tue8i1j8dvm94itb,9/12/23,15:49:42
228,560373509,72,1,o19uvuhb7ud1j1d3q4hf1b1sqe,9/12/23,18:00:50
229,730618082,73,1,4jq4a1k5kusnebtrn3menud3df,9/12/23,19:49:53
230,900080148,73,1,cvcllrfr8mj4ptcsqebf1iuhou,9/12/23,19:50:47
231,361102489,70,1,206sg1crtct53q7p90v0dooj4f,9/12/23,20:45:34
232,210981380,78,1,eb861rv71o2khhffpg3tesel4a,9/12/23,21:40:09
233,516395960,79,1,rlk0qo8s8o3crqls93dk463dnd,9/12/23,21:41:09
234,516395960,80,1,rlk0qo8s8o3crqls93dk463dnd,9/12/23,21:41:15
235,587016866,78,1,16abddr5h9cmefscduosl0tf3j,9/12/23,22:12:44
236,189754534,70,1,apdti8rq7tlp35v01fkvdn8ipo,9/12/23,22:18:34
237,510153900,71,1,639smsp1kjsbj5mindkdo3upsu,9/13/23,14:08:35
238,465042151,71,1,338f1dtnkqgfj303vb0qf4kcl1,9/13/23,18:45:44
239,465042151,70,1,338f1dtnkqgfj303vb0qf4kcl1,9/13/23,18:45:45
240,465042151,80,1,338f1dtnkqgfj303vb0qf4kcl1,9/13/23,18:46:03
241,512676472,78,1,4tsmn6vonnpa5sekhfu1vhi4hf,9/13/23,19:44:59
242,569894131,73,1,6du27u87bg818r3rqak67l56o1,9/13/23,20:52:14
243,882099449,74,1,o8sunshldgqq38kp0ibmnn8ru2,9/13/23,22:20:11
244,751247046,80,1,0aamu6e4k7hl8lpqiidqnk7t0n,9/14/23,07:32:23
245,884891548,70,1,0k1iesv0u57kml9hko09f1pkln,9/14/23,18:33:50
246,868682456,71,1,vjsjfg4br10b74mkr6uq2qmp8n,9/14/23,21:25:39
247,238168071,78,1,imnghkm8j1dmev2hjvr4p4qb7q,9/14/23,22:03:54
248,654210735,78,1,2am1p8cpquh162ssu4g3hv3c2f,9/14/23,23:16:48
249,949067998,71,1,isaqo2d6iu4bb26a32lah4qcup,9/15/23,03:14:31
250,949067998,70,1,isaqo2d6iu4bb26a32lah4qcup,9/15/23,03:14:32
251,516447288,74,2,5cohd9avj29tc92l0ane7g90vk,9/15/23,16:10:17
252,661035136,74,2,9o8jqnii967h67hdg28rvf6pru,9/15/23,16:17:21
253,13,84,1,9s1764i9t4eqnpt4cqm7husk3q,9/15/23,22:03:17
254,265965363,74,1,6uqj4fpl9si4qutkm2stp9el2m,9/15/23,23:08:48
255,864499246,74,1,gi6ih5qcrd4aetrghabuanhl08,9/16/23,09:39:24
256,258846499,79,1,te0inma9kiuli6vt4ld18je9nf,9/16/23,11:12:22
257,266287251,84,1,ieugqfh979jb8lk15ia174o3ak,9/16/23,13:59:18
258,266287251,71,1,ieugqfh979jb8lk15ia174o3ak,9/16/23,13:59:24
259,727387773,81,1,r7gcri2lullenq0711tu43va8p,9/16/23,16:36:24
260,923242582,71,1,54ttsrkls7ndg0enrmlhgdf06e,9/16/23,17:17:32
261,150497726,70,1,b5eoin7lba6mnc2hug1cqigpvp,9/16/23,17:18:13
262,238007463,70,1,fuht9rq365f9dffqeo6ktu0m4o,9/16/23,18:51:07
263,161918050,70,1,lej0eedcepoujnqne7l0cll1lr,9/16/23,18:52:08
264,247723126,71,1,1dlm5pf6hcutolm4fv253argrq,9/16/23,19:58:16
265,699440958,71,1,j4v6psij6qep07mescrp9iggph,9/16/23,20:25:14
266,991166119,70,1,cgsk7ib4e1u9psg55i2rr5ai8p,9/16/23,21:51:32
267,991166119,78,1,cgsk7ib4e1u9psg55i2rr5ai8p,9/16/23,21:52:10
268,498805726,71,1,n23htceng6jgmip3v95v5es2lh,9/16/23,22:57:04
269,176251790,71,1,nf6kbrue4h586905j3r7b4o071,9/16/23,23:20:28
270,374969587,78,1,9sbe23si1si7gsa4meuo1oa2v2,9/17/23,00:02:04
271,269763253,71,1,jgu6a6lce7ac19lggta4avfr28,9/17/23,02:25:28
272,516395960,83,1,u3qril264qp6ugdctvr6p5lboi,9/17/23,09:49:24
274,257608132,71,1,pi2mbrk7mi2nqhk8rdil42qt2o,9/17/23,11:01:03
275,859318945,71,1,hciguk0uicfipf5ho5lv7feut2,9/17/23,11:01:54
276,230500835,71,1,f1cmhdgqhq9dpjtcuellpdhjn8,9/17/23,11:08:33
277,833932730,70,1,ar5e94qieapb7t4crmahlaafpv,9/17/23,11:43:37
278,558647440,71,1,a704a9npn2cm9a11bh7fufua7b,9/17/23,12:09:45
279,669554548,70,1,t60vuqorjgj2eb98lasai8hm7t,9/17/23,12:10:23
280,882122243,71,1,7opt4pbh9hv2snc5m5t2ej8st0,9/17/23,12:23:52
281,111998015,70,1,kta6mohfs8v8kb0a5i6ag20ooc,9/17/23,13:09:05
282,638744739,70,1,76qj652n7ekc930kbg1kralp22,9/17/23,14:55:44
283,849863097,81,1,qvgat1r094clphthn8slqnck33,9/18/23,00:33:47
284,208175987,78,1,ha1kc55shnsne4gfagsh4981er,9/18/23,00:45:48
285,599044111,78,1,lfvunhvfbdmecdhcg72el68jh8,9/18/23,16:42:49
286,635525147,78,1,uo8u0soceen477noa18fsll292,9/18/23,17:51:34
287,565027017,77,1,4lbv1354iia17sejdovr960spe,9/18/23,19:12:19
288,572467145,78,1,0e8e3n6hlkhehtn7eqna0r5q0g,9/18/23,19:40:47
289,278245026,78,1,basbhmana380pema1ggrf57v6v,9/18/23,19:42:11
290,727911086,84,1,g7s5dtbs6n3lsq6jn110pb728k,9/18/23,19:57:54
291,369161589,84,1,t4igbqn23r1k4n5klvaq9oi915,9/18/23,22:23:20
292,684766936,76,1,n27a2jvlq8cj66go8b2r2gctvk,9/18/23,22:58:37
293,253879060,83,1,vivlsgm85d4ug1flinnn0q4953,9/18/23,23:42:59
294,862607092,78,1,4etsohqs9cb6p1g2pspt33miq2,9/19/23,08:04:25
295,420229013,78,1,b3hbtkieilfp6b8kqkvikuk68t,9/19/23,10:55:21
296,139814257,78,1,88qkcojgg3lb4u3qqrkfavj4ru,9/19/23,11:02:40
297,979670628,83,1,m7759j29n76p694b1p60h7ebvu,9/19/23,13:15:37
298,772474283,76,1,3a5igh0nhv3d2urk3vbnlm5aod,9/19/23,13:20:53
299,109704792,81,1,bu1kkadgl5ietbh8k98di4h52e,9/19/23,14:03:00
300,430200312,81,1,8t8hl9eb10d3spndr0ui67cah6,9/19/23,15:02:12
301,350018818,83,1,7gfd7s175ovq1onssem7vps0iq,9/19/23,18:57:58
302,132243361,81,1,5ul5dnp267guelpc29hi8dj64f,9/19/23,19:21:49
303,156273303,78,1,s5s7sje8imircnsno13eu1svqn,9/19/23,19:35:56
304,810609076,79,1,eohpkh7sgoroej982hblbkgcmj,9/19/23,20:19:57
305,344597460,83,1,f5br4j1obf817cdu1krads4fbr,9/19/23,21:23:10
306,165192003,83,1,efepjn2712o1n5nufa7ik1n4iu,9/19/23,21:55:51
307,160956502,78,2,74fluofp62trn7o9ghuc4fs80t,9/19/23,22:10:49
308,730407977,76,1,5fou06mqdi3ta7g5hhcok92ntv,9/19/23,23:02:03
309,344618162,78,1,1spv8noqgj1m30v62e756fcnki,9/19/23,23:21:30
310,599471353,76,1,h3fg8pv7i3omqqqdtrtkm726r1,9/20/23,01:16:50
311,328983256,77,1,54igqf5hdallbt2f87c90ihtkk,9/20/23,09:54:51
312,409800924,81,1,cqon1gta0pb8nj1b1fp6rgar8p,9/20/23,12:48:03
313,124087463,78,1,7mnq0kdfelsomlb1mvfp4cb8u0,9/20/23,12:48:59
314,124087463,78,1,5j8s7ottgpb1i293g92pj278bk,9/20/23,12:52:21
315,363263324,78,1,ksvidvc7pqhthpg7mmcvid417h,9/20/23,15:25:51
316,750192160,83,1,mr8qfdas8sdqa253tv0cj40jgm,9/20/23,19:31:27
317,398676045,78,1,mkf7qnhvnaaq7lfbckvekieekt,9/20/23,20:05:56
318,751634528,79,1,b2q7imu69knuch6rvh1v9r1hbm,9/20/23,22:08:00
319,770223110,81,2,kri9qt30dkcb07ldm80aikvhpa,9/21/23,12:30:51
320,573835268,81,1,7h2e9pfpaatecp14j6sahlpin4,9/21/23,15:52:17
321,882592557,81,1,9tbphheqcb1gk429mgjl63g9oe,9/21/23,17:08:27
323,178770713,77,1,1nsrlurrlk57ak99ufeaimm2rv,9/21/23,17:56:24
324,365295946,81,1,ru4jq2ffjtso7ocf457sh2jnh8,9/21/23,19:06:40
325,441815562,78,1,ujh37nj2mstgt102lci1s1v18o,9/21/23,20:25:30
326,23,78,1,m0p2o2q32gfvn2f52iibcl78qo,9/21/23,21:11:24
327,251100589,79,1,g7htejr64ut4aid5511cvh1264,9/21/23,22:55:07
328,368881876,78,1,6pgu276dvd9stpkoip3qca7tj7,9/22/23,07:47:37
329,347513279,78,2,4kj40oau7snmklh42jeaoft94q,9/22/23,08:18:11
330,118798747,77,1,madhu9ueua3j7scitij890i0e7,9/22/23,08:56:57
